category,slot_concept,type,IT,IT_grade,EN (US/UK),EN_grade,DE,DE_grade,notes
1. Institutions & branches of government,government,generic,governo,2,government,2,regierung,2,
1. Institutions & branches of government,governments (pl.),generic,governi,2,governments,2,regierungen,2,
1. Institutions & branches of government,parliament,generic,parlamento,2,parliament,2,parlament,2,
1. Institutions & branches of government,parliaments (pl.),generic,parlamenti,2,parliaments,2,parlamente,2,
1. Institutions & branches of government,senate,generic,senato,2,senate,2,senat,2,DE upper house is Bundesrat; 'Senat' exists for city-states
1. Institutions & branches of government,chamber of deputies / lower house,generic,camera dei deputati,3,house of representatives,3,bundestag,3,"functional analogs, not translations"
1. Institutions & branches of government,senate of the republic / upper house,generic,senato della repubblica,3,senate,2,bundesrat,3,functional analogs
1. Institutions & branches of government,PM office (seat of govt),generic,palazzo chigi,3,downing street,3,kanzleramt,3,metonyms for the head of government's office
1. Institutions & branches of government,council of ministers / cabinet,generic,consiglio dei ministri,3,cabinet,3,kabinett,3,
1. Institutions & branches of government,constitutional court,generic,corte costituzionale,3,constitutional court,3,verfassungsgericht,3,EN analog: supreme court
1. Institutions & branches of government,court of auditors,generic,corte dei conti,3,court of auditors,3,rechnungshof,3,
1. Institutions & branches of government,judiciary,generic,magistratura,2,judiciary,2,justiz,2,
1. Institutions & branches of government,magistrates / judges,generic,magistrati,2,magistrates,2,richter,2,
1. Institutions & branches of government,technocratic government,generic,governo tecnico,3,technocratic government,3,technokratische regierung,3,
1. Institutions & branches of government,national-unity government,generic,governo di unità nazionale,3,national unity government,3,regierung der nationalen einheit,3,
2. Government roles & offices,prime minister / PM,generic,presidente del consiglio,3,prime minister,3,bundeskanzler,3,head of government; DE analog Kanzler
2. Government roles & offices,president of the republic / head of state,generic,presidente della repubblica,3,president,3,bundespräsident,3,
2. Government roles & offices,speaker of the lower house,generic,presidente della camera,3,speaker,3,bundestagspräsident,3,
2. Government roles & offices,speaker of the upper house,generic,presidente del senato,3,senate president,3,bundesratspräsident,3,
2. Government roles & offices,premier (role/slang),generic,premier,2,premier,1,premierminister,3,also 'Premier League' (sport) -> FP risk
2. Government roles & offices,deputy prime minister,generic,vicepremier,3,deputy prime minister,3,vizekanzler,3,
2. Government roles & offices,minister,generic,ministro,2,minister,2,minister,2,
2. Government roles & offices,ministers (pl.),generic,ministri,2,ministers,2,minister,2,
2. Government roles & offices,minister (f.),generic,ministra,2,minister,2,ministerin,2,
2. Government roles & offices,undersecretary,generic,sottosegretario,3,undersecretary,3,staatssekretär,3,
2. Government roles & offices,deputy minister,generic,viceministro,3,deputy minister,3,stellvertretender minister,3,
2. Government roles & offices,prefect,generic,prefetto,2,prefect,2,präfekt,2,
2. Government roles & offices,mayor,generic,sindaco,2,mayor,2,bürgermeister,2,
2. Government roles & offices,mayors (pl.),generic,sindaci,2,mayors,2,bürgermeister,2,
2. Government roles & offices,governor (regional),generic,governatore,2,governor,2,ministerpräsident,2,DE analog: Land minister-president
2. Government roles & offices,city council,generic,consiglio comunale,2,city council,2,stadtrat,2,
2. Government roles & offices,regional council,generic,consiglio regionale,2,regional council,2,landtag,2,
2. Government roles & offices,parliamentary group leader,generic,capogruppo,3,group leader,3,fraktionsvorsitzender,3,
3. Parliamentary & legislative procedure,majority,generic,maggioranza,2,majority,2,mehrheit,2,also general 'majority' -> some FP
3. Parliamentary & legislative procedure,opposition,generic,opposizione,2,opposition,2,opposition,2,also physics/debate sense
3. Parliamentary & legislative procedure,amendment,generic,emendamento,3,amendment,3,änderungsantrag,3,
3. Parliamentary & legislative procedure,amendments (pl.),generic,emendamenti,3,amendments,3,änderungsanträge,3,
3. Parliamentary & legislative procedure,confidence vote,generic,voto di fiducia,3,confidence vote,3,vertrauensfrage,3,
3. Parliamentary & legislative procedure,question of confidence,generic,questione di fiducia,3,question of confidence,3,vertrauensfrage,3,
3. Parliamentary & legislative procedure,no-confidence,generic,sfiducia,3,no confidence,3,misstrauensvotum,3,
3. Parliamentary & legislative procedure,motion of no confidence,generic,mozione di sfiducia,3,motion of no confidence,3,misstrauensvotum,3,
3. Parliamentary & legislative procedure,shadow government,generic,governo ombra,3,shadow cabinet,3,schattenkabinett,3,
3. Parliamentary & legislative procedure,decree,generic,decreto,2,decree,2,dekret,2,
3. Parliamentary & legislative procedure,decree-law,generic,decreto legge,3,decree-law,3,gesetzesdekret,3,
3. Parliamentary & legislative procedure,decree-law (one word variant),generic,decretolegge,3,decree-law,3,gesetzesdekret,3,
3. Parliamentary & legislative procedure,bill / draft law,generic,disegno di legge,3,bill,1,gesetzentwurf,3,EN 'bill' also = invoice/banknote -> FP
3. Parliamentary & legislative procedure,bill (abbr.),generic,ddl,3,bill,1,gesetzentwurf,3,
3. Parliamentary & legislative procedure,legislative process,generic,iter legislativo,3,legislative process,3,gesetzgebungsverfahren,3,
3. Parliamentary & legislative procedure,question time,generic,question time,3,question time,3,fragestunde,3,
3. Parliamentary & legislative procedure,parliamentary committee,generic,commissione parlamentare,3,parliamentary committee,3,parlamentsausschuss,3,
3. Parliamentary & legislative procedure,secret ballot,generic,voto segreto,2,secret ballot,2,geheime abstimmung,2,
3. Parliamentary & legislative procedure,filibuster / obstructionism,generic,ostruzionismo,3,filibuster,3,obstruktion,3,
3. Parliamentary & legislative procedure,budget bill (slang),generic,manovra,2,budget bill,3,haushaltsgesetz,3,IT 'manovra' also = maneuver -> FP
4. Elections & electoral system,elections,generic,elezioni,2,elections,2,wahlen,2,
4. Elections & electoral system,general election,generic,elezioni politiche,3,general election,3,bundestagswahl,3,DE analog: federal election
4. Elections & electoral system,regional elections,generic,elezioni regionali,3,regional elections,3,landtagswahl,3,
4. Elections & electoral system,european elections,generic,elezioni europee,3,european elections,3,europawahl,3,
4. Elections & electoral system,local/administrative elections,generic,elezioni amministrative,3,local elections,3,kommunalwahl,3,
4. Elections & electoral system,municipal elections,generic,elezioni comunali,3,municipal elections,3,kommunalwahl,3,
4. Elections & electoral system,electoral (adj.),generic,elettorale,2,electoral,2,wahl-,2,
4. Elections & electoral system,electoral law,generic,legge elettorale,3,electoral law,3,wahlgesetz,3,
4. Elections & electoral system,proportional representation,generic,proporzionale,2,proportional representation,2,verhältniswahl,2,IT/EN word also math 'proportional'
4. Elections & electoral system,majoritarian system,generic,maggioritario,2,majoritarian,2,mehrheitswahl,2,
4. Elections & electoral system,runoff,generic,ballottaggio,3,runoff,3,stichwahl,3,
4. Elections & electoral system,vote count,generic,scrutinio,2,vote count,3,auszählung,3,IT 'scrutinio' also = school term grading
4. Elections & electoral system,ballot count,generic,spoglio,2,ballot count,3,stimmenauszählung,3,IT 'spoglio' also = stripping/inventory
4. Elections & electoral system,polling station / seat,generic,seggio,2,polling station,2,wahllokal,2,
4. Elections & electoral system,seats / polling stations,generic,seggi,2,seats,2,sitze,2,
4. Elections & electoral system,single-member constituency,generic,collegio elettorale,3,constituency,3,wahlkreis,3,
4. Elections & electoral system,electoral district,generic,circoscrizione,2,electoral district,2,wahlbezirk,2,
4. Elections & electoral system,electoral threshold,generic,soglia di sbarramento,3,electoral threshold,3,sperrklausel,3,
4. Elections & electoral system,majority bonus,generic,premio di maggioranza,3,majority bonus,3,mehrheitsbonus,3,
4. Elections & electoral system,preference vote,generic,voto di preferenza,3,preference vote,3,vorzugsstimme,3,
4. Elections & electoral system,split-ticket vote,generic,voto disgiunto,3,split-ticket vote,3,stimmensplitting,3,
4. Elections & electoral system,closed party lists,generic,liste bloccate,3,closed lists,3,geschlossene listen,3,
4. Elections & electoral system,ballot paper,generic,scheda elettorale,3,ballot,3,stimmzettel,3,
4. Elections & electoral system,exit poll,generic,exit poll,3,exit poll,3,nachwahlbefragung,3,
4. Elections & electoral system,election poll,generic,sondaggio elettorale,3,election poll,3,wahlumfrage,3,
4. Elections & electoral system,polls / surveys,generic,sondaggi,2,polling,2,umfragen,2,IT/DE word also product/market surveys
4. Elections & electoral system,turnout,generic,affluenza,2,turnout,2,wahlbeteiligung,2,IT 'affluenza' also = crowd/influx
4. Elections & electoral system,abstention,generic,astensione,2,abstention,2,enthaltung,2,
4. Elections & electoral system,abstentionism,generic,astensionismo,3,abstentionism,3,nichtwählertum,3,
4. Elections & electoral system,tactical vote,generic,voto utile,3,tactical vote,3,taktische stimme,3,
4. Elections & electoral system,vote-buying,generic,voto di scambio,3,vote buying,3,stimmenkauf,3,
4. Elections & electoral system,electoral fraud,generic,brogli elettorali,3,electoral fraud,3,wahlbetrug,3,
4. Elections & electoral system,election campaign,generic,campagna elettorale,3,campaign finance,3,wahlkampf,3,EN nearest list term differs in meaning
4. Elections & electoral system,electoral manifesto,generic,programma elettorale,3,manifesto,3,wahlprogramm,3,
4. Elections & electoral system,candidate,generic,candidato,2,candidate,2,kandidat,2,
4. Elections & electoral system,candidates (pl.),generic,candidati,2,candidates,2,kandidaten,2,
4. Elections & electoral system,to vote,generic,votare,2,vote,2,wählen,2,
7. Constitutional reform & state structure,constitution,generic,costituzione,2,constitution,2,verfassung,2,DE also 'grundgesetz'
7. Constitutional reform & state structure,constitutional (adj.),generic,costituzionale,2,constitutional,2,verfassungs-,2,
7. Constitutional reform & state structure,constitutional reform,generic,riforma costituzionale,3,constitutional reform,3,verfassungsreform,3,
7. Constitutional reform & state structure,presidentialism,generic,presidenzialismo,3,presidentialism,3,präsidialsystem,3,
7. Constitutional reform & state structure,semi-presidentialism,generic,semipresidenzialismo,3,semi-presidentialism,3,semipräsidentialismus,3,
7. Constitutional reform & state structure,parliamentarism,generic,parlamentarismo,3,parliamentarism,3,parlamentarismus,3,
7. Constitutional reform & state structure,bicameralism,generic,bicameralismo,3,bicameralism,3,zweikammersystem,3,
7. Constitutional reform & state structure,perfect (symmetric) bicameralism,generic,bicameralismo perfetto,3,perfect bicameralism,3,perfekter bikameralismus,3,IT constitutional feature
7. Constitutional reform & state structure,direct election,generic,elezione diretta,2,direct election,2,direktwahl,2,
7. Constitutional reform & state structure,regional autonomy,generic,autonomia regionale,2,regional autonomy,2,regionale autonomie,2,
7. Constitutional reform & state structure,federalism,generic,federalismo,2,federalism,2,föderalismus,2,
7. Constitutional reform & state structure,regionalism,generic,regionalismo,2,regionalism,2,regionalismus,2,
7. Constitutional reform & state structure,independence movement,generic,indipendentismo,3,independence,3,unabhängigkeitsbewegung,3,EN 'independence' broader
7. Constitutional reform & state structure,separatism,generic,separatismo,3,separatism,3,separatismus,3,
7. Constitutional reform & state structure,fiscal secession (slang),generic,secessione fiscale,3,fiscal secession,3,fiskalische sezession,3,
7. Constitutional reform & state structure,senate abolition,generic,abolizione del senato,3,senate abolition,3,senatsabschaffung,3,
8. Fiscal & economic policy,budget law,generic,legge di bilancio,3,budget law,3,haushaltsgesetz,3,
8. Fiscal & economic policy,finance act,generic,legge finanziaria,3,finance act,3,finanzgesetz,3,
8. Fiscal & economic policy,public deficit,generic,deficit pubblico,2,public deficit,2,haushaltsdefizit,2,
8. Fiscal & economic policy,public debt,generic,debito pubblico,2,public debt,2,staatsverschuldung,2,
8. Fiscal & economic policy,European Central Bank,generic,bce,3,ecb,3,ezb,3,
8. Fiscal & economic policy,eurozone,generic,eurozona,3,eurozone,3,eurozone,3,
8. Fiscal & economic policy,GDP,generic,pil,3,gdp,3,bip,3,
8. Fiscal & economic policy,public spending,generic,spesa pubblica,2,public spending,2,staatsausgaben,2,
8. Fiscal & economic policy,spending cuts,generic,tagli alla spesa,2,spending cuts,2,ausgabenkürzungen,2,
8. Fiscal & economic policy,spending review,generic,spending review,3,spending review,3,ausgabenüberprüfung,3,
8. Fiscal & economic policy,austerity,generic,austerity,2,austerity,2,sparpolitik,2,
8. Fiscal & economic policy,stability pact,generic,patto di stabilità,3,stability pact,3,stabilitätspakt,3,
8. Fiscal & economic policy,budget constraints,generic,vincoli di bilancio,2,budget constraints,2,haushaltszwänge,2,
8. Fiscal & economic policy,taxes,generic,tasse,2,taxes,2,steuern,2,
8. Fiscal & economic policy,tax authority / treasury,generic,fisco,2,treasury,2,finanzamt,2,
8. Fiscal & economic policy,tax burden,generic,pressione fiscale,2,tax burden,2,steuerlast,2,
8. Fiscal & economic policy,flat tax,generic,flat tax,3,flat tax,3,einheitssteuer,3,
8. Fiscal & economic policy,personal income tax (IT),generic,irpef,3,income tax,3,einkommensteuer,3,IT acronym (IRPEF)
8. Fiscal & economic policy,VAT,generic,iva,2,vat,2,mehrwertsteuer,2,
8. Fiscal & economic policy,corporate income tax (IT),generic,ires,3,corporate tax,3,körperschaftsteuer,3,IT acronym (IRES)
8. Fiscal & economic policy,municipal property tax (IT),generic,imu,3,property tax,3,grundsteuer,3,IT acronym (IMU)
8. Fiscal & economic policy,tax wedge,generic,cuneo fiscale,3,tax wedge,3,steuerkeil,3,
8. Fiscal & economic policy,tax evasion,generic,evasione fiscale,2,tax evasion,2,steuerhinterziehung,2,
8. Fiscal & economic policy,tax avoidance,generic,elusione fiscale,2,tax avoidance,2,steuervermeidung,2,
8. Fiscal & economic policy,fight against tax evasion,generic,lotta all'evasione,3,crackdown on tax evasion,3,kampf gegen steuerhinterziehung,3,
8. Fiscal & economic policy,tax amnesty,generic,condono fiscale,3,tax amnesty,3,steueramnestie,3,
8. Fiscal & economic policy,wealth tax,generic,patrimoniale,3,wealth tax,3,vermögensteuer,3,
8. Fiscal & economic policy,inheritance tax,generic,tassa di successione,2,inheritance tax,2,erbschaftsteuer,2,
8. Fiscal & economic policy,land-registry reform,generic,riforma del catasto,3,land registry reform,3,katasterreform,3,
8. Fiscal & economic policy,excise duties,generic,accise,2,excise duties,2,verbrauchsteuern,2,
8. Fiscal & economic policy,public-broadcast licence fee,generic,canone rai,3,tv licence fee,3,rundfunkbeitrag,3,IT-specific (RAI fee)
8. Fiscal & economic policy,golden power (state veto),generic,golden power,3,golden power,3,staatliches vetorecht,3,
8. Fiscal & economic policy,state aid,generic,aiuti di stato,2,state aid,2,staatshilfen,2,
8. Fiscal & economic policy,nationalisation,generic,nazionalizzazione,2,nationalisation,2,verstaatlichung,2,
8. Fiscal & economic policy,privatisation,generic,privatizzazione,2,privatisation,2,privatisierung,2,
8. Fiscal & economic policy,liberalisations,generic,liberalizzazioni,2,liberalisation,2,liberalisierungen,2,
8. Fiscal & economic policy,economic policy,generic,politica economica,2,economic policy,2,wirtschaftspolitik,2,
8. Fiscal & economic policy,industrial policy,generic,politica industriale,2,industrial policy,2,industriepolitik,2,
8. Fiscal & economic policy,inflation,generic,inflazione,2,inflation,2,inflation,2,
8. Fiscal & economic policy,cost-of-living crisis,generic,caro vita,2,cost of living,2,lebenshaltungskosten,2,
9. Labor & welfare,labour market,generic,mercato del lavoro,1,labour market,1,arbeitsmarkt,1,broad economics term -> FP
9. Labor & welfare,labour cost,generic,costo del lavoro,1,labour cost,1,arbeitskosten,1,broad economics term -> FP
9. Labor & welfare,labour reform,generic,riforma del lavoro,2,labour reform,2,arbeitsmarktreform,2,
9. Labor & welfare,minimum wage,generic,salario minimo,2,minimum wage,2,mindestlohn,2,
9. Labor & welfare,precarious employment,generic,precariato,2,precarious work,2,prekariat,2,
9. Labor & welfare,offshoring / relocation,generic,delocalizzazione,2,offshoring,2,standortverlagerung,2,
9. Labor & welfare,strike,generic,sciopero,2,strike,2,streik,2,
9. Labor & welfare,general strike,generic,sciopero generale,2,general strike,2,generalstreik,2,
9. Labor & welfare,trade union,generic,sindacato,2,trade union,2,gewerkschaft,2,
9. Labor & welfare,trade unions (pl.),generic,sindacati,2,trade unions,2,gewerkschaften,2,
9. Labor & welfare,state subsidy,generic,sussidio statale,2,state subsidy,2,staatliche subvention,2,
9. Labor & welfare,welfarism (pejorative),generic,assistenzialismo,3,welfarism,3,staatliche alimentierung,3,
9. Labor & welfare,welfare,generic,welfare,2,welfare,2,sozialleistungen,2,
9. Labor & welfare,welfare state,generic,stato sociale,2,welfare state,2,sozialstaat,2,
9. Labor & welfare,unemployment,generic,disoccupazione,1,unemployment,1,arbeitslosigkeit,1,broad economics term -> FP
10. Pensions,pensions,generic,pensioni,2,pensions,2,renten,2,
10. Pensions,pension reform,generic,riforma delle pensioni,3,pension reform,3,rentenreform,3,
10. Pensions,early retirement,generic,pensione anticipata,2,early retirement,2,frührente,2,
11. Immigration & asylum,immigration,generic,immigrazione,2,immigration,2,einwanderung,2,
11. Immigration & asylum,irregular immigrants,generic,immigrati irregolari,2,irregular immigrants,2,illegale einwanderer,2,
11. Immigration & asylum,migrants,generic,migranti,2,migrants,2,migranten,2,
11. Immigration & asylum,refugees,generic,profughi,2,refugees,2,flüchtlinge,2,
11. Immigration & asylum,asylum seekers,generic,richiedenti asilo,2,asylum seekers,2,asylbewerber,2,
11. Immigration & asylum,bogus asylum seekers (charged),generic,falsi richiedenti asilo,3,bogus asylum seekers,3,falsche asylbewerber,3,
11. Immigration & asylum,illegal immigrants (pejorative),generic,clandestini,2,illegal immigrants,2,illegale,2,charged term
11. Immigration & asylum,migrant landings,generic,sbarchi,2,migrant landings,2,anlandungen,2,IT 'sbarchi' also generic disembarkation
11. Immigration & asylum,migration flows,generic,flussi migratori,2,migration flows,2,migrationsströme,2,
11. Immigration & asylum,boat people-smugglers,generic,scafisti,3,people smugglers,3,schleuser,3,
11. Immigration & asylum,human traffickers,generic,trafficanti di esseri umani,2,human traffickers,2,menschenhändler,2,
11. Immigration & asylum,naval blockade,generic,blocco navale,3,naval blockade,3,seeblockade,3,
11. Immigration & asylum,pushbacks,generic,respingimenti,3,pushbacks,3,zurückweisungen,3,
11. Immigration & asylum,expulsions,generic,espulsioni,2,expulsions,2,abschiebungen,2,
11. Immigration & asylum,repatriations,generic,rimpatri,2,repatriations,2,rückführungen,2,
11. Immigration & asylum,assisted returns,generic,rimpatri assistiti,3,assisted returns,3,unterstützte rückkehr,3,
11. Immigration & asylum,detention centres,generic,centri di permanenza,3,detention centres,3,abschiebehaftzentren,3,
11. Immigration & asylum,migrant hotspots,generic,hotspot migranti,3,migrant hotspots,3,migranten-hotspots,3,
11. Immigration & asylum,international protection,generic,protezione internazionale,2,international protection,2,internationaler schutz,2,
11. Immigration & asylum,special protection (IT status),generic,protezione speciale,3,special protection,3,besonderer schutz,3,
11. Immigration & asylum,humanitarian protection,generic,protezione umanitaria,3,humanitarian protection,3,humanitärer schutz,3,
11. Immigration & asylum,humanitarian corridors,generic,corridoi umanitari,3,humanitarian corridors,3,humanitäre korridore,3,
11. Immigration & asylum,Dublin agreement,generic,accordo di dublino,3,dublin agreement,3,dublin-abkommen,3,
11. Immigration & asylum,Dublin regulation,generic,regolamento di dublino,3,dublin regulation,3,dublin-verordnung,3,
11. Immigration & asylum,migration & asylum pact,generic,patto migrazione e asilo,3,migration and asylum pact,3,migrationspakt,3,
11. Immigration & asylum,migrant quotas,generic,quote migranti,3,migrant quotas,3,migrantenquoten,3,
11. Immigration & asylum,migrant relocation,generic,redistribuzione migranti,3,migrant relocation,3,umverteilung von migranten,3,
11. Immigration & asylum,Frontex (EU border agency),generic,frontex,3,frontex,3,frontex,3,
11. Immigration & asylum,Italy-Libya memorandum,generic,memorandum italia-libia,3,italy-libya memorandum,3,italien-libyen-memorandum,3,
11. Immigration & asylum,Italy-Albania protocol,generic,protocollo italia-albania,3,italy-albania protocol,3,italien-albanien-protokoll,3,
11. Immigration & asylum,integration,generic,integrazione,1,integration,1,integration,1,broad term (math/social) -> FP; removed from DE list earlier
11. Immigration & asylum,birthright citizenship (ius soli),generic,ius soli,3,birthright citizenship,3,ius soli,3,
11. Immigration & asylum,citizenship by descent (ius sanguinis),generic,ius sanguinis,3,ius sanguinis,3,ius sanguinis,3,
11. Immigration & asylum,Italian citizenship,generic,cittadinanza italiana,2,citizenship,2,staatsbürgerschaft,2,
11. Immigration & asylum,naturalisation,generic,naturalizzazione,2,naturalisation,2,einbürgerung,2,
11. Immigration & asylum,residence permit,generic,permesso di soggiorno,2,residence permit,2,aufenthaltstitel,2,
11. Immigration & asylum,ethnic replacement (conspiracy),generic,sostituzione etnica,3,ethnic replacement,3,bevölkerungsaustausch,3,
11. Immigration & asylum,great replacement (conspiracy),generic,grande sostituzione,3,great replacement,3,großer austausch,3,
11. Immigration & asylum,Kalergi plan (conspiracy),generic,piano kalergi,3,kalergi plan,3,kalergi-plan,3,
11. Immigration & asylum,remigration (far-right),generic,remigrazione,3,remigration,3,remigration,3,
11. Immigration & asylum,migrant invasion (charged),generic,invasione migratoria,3,migrant invasion,3,migranteninvasion,3,
11. Immigration & asylum,migration emergency,generic,emergenza migratoria,2,migration emergency,2,migrationskrise,2,
"12. Justice, security & crime-politics",justice reform,generic,riforma della giustizia,3,justice reform,3,justizreform,3,
"12. Justice, security & crime-politics",wiretaps,generic,intercettazioni,2,wiretaps,2,abhörmaßnahmen,2,
"12. Justice, security & crime-politics",statute of limitations,generic,prescrizione,2,statute of limitations,2,verjährung,2,IT 'prescrizione' also = medical prescription
"12. Justice, security & crime-politics",prison overcrowding,generic,sovraffollamento carcerario,2,prison overcrowding,2,überfüllung der gefängnisse,2,
"12. Justice, security & crime-politics",prison reform,generic,riforma delle carceri,3,prison reform,3,gefängnisreform,3,
"12. Justice, security & crime-politics",self-defence (law),generic,legittima difesa,2,self-defence,2,notwehr,2,
"12. Justice, security & crime-politics",chemical castration,generic,castrazione chimica,3,chemical castration,3,chemische kastration,3,
"12. Justice, security & crime-politics",national security,generic,sicurezza nazionale,2,national security,2,nationale sicherheit,2,
"12. Justice, security & crime-politics",public security,generic,sicurezza pubblica,2,public security,2,öffentliche sicherheit,2,
"12. Justice, security & crime-politics",public order,generic,ordine pubblico,2,public order,2,öffentliche ordnung,2,
"12. Justice, security & crime-politics",law and order,generic,legge e ordine,2,law and order,2,recht und ordnung,2,
"12. Justice, security & crime-politics",abuse of office,generic,abuso d'ufficio,2,abuse of office,2,amtsmissbrauch,2,
"12. Justice, security & crime-politics",corruption,generic,corruzione,2,corruption,2,korruption,2,
"12. Justice, security & crime-politics",bribes,generic,tangenti,2,bribes,2,schmiergelder,2,
"12. Justice, security & crime-politics",bribes (slang),generic,mazzette,2,kickbacks,2,bestechungsgelder,2,
"12. Justice, security & crime-politics",embezzlement,generic,peculato,2,embezzlement,2,unterschlagung,2,
13. Corruption & organized crime,mafia,generic,mafia,2,mafia,2,mafia,2,
13. Corruption & organized crime,anti-mafia,generic,antimafia,3,anti-mafia,3,antimafia,3,
13. Corruption & organized crime,'ndrangheta,generic,'ndrangheta,3,ndrangheta,3,ndrangheta,3,
13. Corruption & organized crime,camorra,generic,camorra,3,camorra,3,camorra,3,
13. Corruption & organized crime,cosa nostra (Sicilian mafia),generic,cosa nostra,3,cosa nostra,3,cosa nostra,3,
13. Corruption & organized crime,racket,generic,racket,2,racket,1,schutzgelderpressung,2,EN 'racket' also = noise/sport
13. Corruption & organized crime,extortion,generic,estorsione,2,extortion,2,erpressung,2,
13. Corruption & organized crime,organised crime,generic,criminalità organizzata,2,organised crime,2,organisierte kriminalität,2,
14. EU & European policy,European Union,generic,unione europea,2,european union,2,europäische union,2,
14. EU & European policy,Brussels (EU metonym),generic,bruxelles,2,brussels,2,brüssel,2,also the city
14. EU & European policy,Strasbourg (EU Parliament metonym),generic,strasburgo,2,strasbourg,2,straßburg,2,also the city
14. EU & European policy,European Commission,generic,commissione europea,3,european commission,3,europäische kommission,3,
14. EU & European policy,European Parliament,generic,parlamento europeo,3,european parliament,3,europäisches parlament,3,
14. EU & European policy,European Council,generic,consiglio europeo,3,european council,3,europäischer rat,3,
14. EU & European policy,Eurogroup,generic,eurogruppo,3,eurogroup,3,eurogruppe,3,
14. EU & European policy,European Stability Mechanism,generic,mes,3,esm,3,esm,3,IT acronym (MES)
14. EU & European policy,NextGenerationEU,generic,nextgenerationeu,3,nextgenerationeu,3,nextgenerationeu,3,
14. EU & European policy,Recovery Fund,generic,recovery fund,3,recovery fund,3,wiederaufbaufonds,3,
